Maine,me,US
New Hampshire,nh,US
Vermont,vt,US
Massachusetts,ma,US
Rhode Island,ri,US
Connecticut,ct,US
New York,ny,US
Pennsylvania,pa,US
New Jersey,nj,US
Wisconsin,wi,US
Michigan,mi,US
Illinois,il,US
Indiana,IN,US
Ohio,oh,US
Missouri,mo,US
North Dakota,nd,US
South Dakota,sd,US
Nebraska,ne,US
Kansas,ks,US
Minnesota,mn,US
Iowa,ia,US
Delaware,de,US
Maryland,md,US
District of Columbia,dc,US
Virginia,va,US
West Virginia,wv,US
North Carolina,nc,US
South Carolina,sc,US
Georgia,ga,US
Florida,fl,US
Kentucky,ky,US
Tennessee,tn,US
Mississippi,ms,US
Alabama,al,US
Oklahoma,ok,US
Texas,tx,US
Arkansas,ar,US
Louisiana,la,US
Idaho,id,US
Montana,mt,US
Wyoming,wy,US
Nevada,nv,US
Utah,ut,US
Colorado,co,US
Arizona,az,US
New Mexico,nm,US
Alaska,ak,US
Washington,wa,US
Oregon,or,US
California,ca,US
Hawaii,hi,US